annees,programme,budget_ou_cible,source,flag
2007-2010,"Gouvernement + AMARTA (USAID) : rajeunissement, replantation, extension de l'arabica ; environ 12 500 ha d'arabica",environ 50 milliards IDR,"USDA GAIN Jakarta, nov. 2010 (ID1032)",V
2012,"Ministère de l'Agriculture : extension de l'arabica et rajeunissement du Robusta, 7 projets","142,8 milliards IDR (annoncé 143)","USDA GAIN Jakarta, mai 2012 (ID1215)",V
2012,Intensification du café,13 510 ha dans 7 provinces,https://ditjenbun.pertanian.go.id/intensifikasi-dan-perluasan-tanaman-kopi-di-sentra-prodoksi-kopi/,S
2014,Perhutani : forêts d'État ouvertes au café en agroforesterie,"291 306 ha propices à Java Ouest, 20 000 ha plantés","USDA GAIN Jakarta, mai 2014 (ID1416)",V
2011-12 et après,LTA / TFCA-Sumatra : arabica à Kerinci,30 000 plants ; plus de 600 planteurs,https://www.mongabay.co.id/2019/02/24/harum-kopi-arabika-di-kaki-gunung-tertinggi-sumatera/,S
2019/20-2024,BUN500 : plants gratuits,"500 M de plants pour 10 cultures, dont le café",https://ditjenbun.pertanian.go.id/kementan-luncurkan-program-bun500-benih-unggul-500-juta-batang-2/,S
2022,"Engrais subventionné (Permentan 10/2022) limité à 9 cultures, dont le café",fermes de 2 ha au plus ; urée et NPK,https://psp.pertanian.go.id/layanan-publik/info-pupuk-bersubsidi-berdasarkan-permentan-nomor-10-tahun-2022,S
2025-2027,« Hilirisasi » des plantations,"9,5 T IDR pour 7 cultures et 870 000 ha ; café : 2,16 T IDR pour 99 500 ha (86 000 ha en 2026)",https://industri.kontan.co.id/news/kementan-percepat-hilirisasi-perkebunan-siapkan-anggaran-rp-95-triliun ; https://kumparan.com/kumparanbisnis/kementan-siapkan-rp-1-31-triliun-untuk-perluasan-lahan-kopi-hingga-2026-26M8aOr8G6q,S
2026,Programme présidentiel spécial Lampung,350 milliards IDR ; 18 000 ha de café et cacao ; 600 000 plants de Robusta pour Pesisir Barat et Tanggamus ; 200 000 boutures pour Way Kanan,https://money.kompas.com/read/2026/08/28/120000926,S
c.2025-26,Développement du café à Bengkulu,1 350 ha dans 5 districts ; environ 1 M de plants,https://harianbengkuluekspress.bacakoran.co/seputar-kota/read/56882,S
2026,Aceh Tengah / Karo / Kerinci,"4 M de plants « Arabica Gayo 3 » / 1,2 M de plants d'arabica pour 1 200 ha / 650 ha d'arabica",https://www.antaranews.com/berita/5640563 ; https://sumutpos.co/daerah/06/08/2026/pemkab-karo-salurkan-bantuan-bibit-kopi-dari-kementan/ ; https://republika.co.id/berita/tllmvm451,S
