year_from_url,headline,url
,"Asia coffee: Sluggish trade in Vietnam, Indonesian premium narrows",https://www.brecorder.com/news/40429600/asia-coffee-sluggish-trade-in-vietnam-indonesian-premium-narrows
,"Asia coffee: Sluggish trade in Vietnam, premiums rise in Indonesia",https://www.brecorder.com/news/40431486/asia-coffee-sluggish-trade-in-vietnam-premiums-rise-in-indonesia
,"Asia coffee: Trade slows in Vietnam ahead of holiday, Indonesia premiums slip",https://www.brecorder.com/news/40418028/asia-coffee-trade-slows-in-vietnam-ahead-of-holiday-indonesia-premiums-slip
,"Asia coffee: Vietnam trade unmatched, higher premiums in Indonesia",https://www.brecorder.com/news/40266665
,"Coffee prices move up in Vietnam, Indonesia on thin supply",https://www.brecorder.com/news/40291391
,"Asia coffee: Prices fall further in Vietnam, premiums rise in Indonesia",https://www.brecorder.com/news/40369740/asia-coffee-prices-fall-further-in-vietnam-premiums-rise-in-indonesia
,"Asia coffee: Tepid trade in Vietnam on low supplies, Indonesia premiums fall",https://www.brecorder.com/news/40380482
,"Vietnam coffee market quiet; Indonesian premium lower",https://www.brecorder.com/news/40253785/vietnam-coffee-market-quiet-indonesian-premium-lower
,"Asia coffee: Prices pick up in Vietnam, supplies dwindle in Indonesia",https://www.brecorder.com/news/40332605
,"Asia coffee: Domestic prices fall in Vietnam, new beans hit Indonesian market",https://www.brecorder.com/news/40362914/asia-coffee-domestic-prices-fall-in-vietnam-new-beans-hit-indonesian-market
,"Asia coffee: Farmers hold off selling in Vietnam, tight supplies in Indonesia",https://www.brecorder.com/news/40355093/asia-coffee-farmers-hold-off-selling-in-vietnam-tight-supplies-in-indonesia
,"Vietnam coffee prices gain, Indonesian robusta premiums hold firm",https://www.brecorder.com/news/40438913/vietnam-coffee-prices-gain-indonesian-robusta-premiums-hold-firm
,"Robusta coffee prices down in Vietnam",https://www.brecorder.com/news/40440002/robusta-coffee-prices-down-in-vietnam
,"Vietnam coffee prices up, Indonesia harvest begins",https://www.brecorder.com/news/40428319/vietnam-coffee-prices-up-indonesia-harvest-begins
,"Vietnam coffee prices steady in thin trade",https://www.brecorder.com/news/40435800/vietnam-coffee-prices-steady-in-thin-trade
,"Vietnam coffee prices gain, Indonesia premiums fall",https://www.brecorder.com/news/40409192
,"Vietnam coffee price down on global cues",https://www.brecorder.com/news/40436733/vietnam-coffee-price-down-on-global-cues
,"Vietnam's domestic coffee prices fall amid slow trade, thin demand",https://www.brecorder.com/news/40414815/vietnams-domestic-coffee-prices-fall-amid-slow-trade-thin-demand
,"Vietnam coffee prices rise, Indonesian harvest nears end",https://www.brecorder.com/news/40433648/vietnam-coffee-prices-rise-indonesian-harvest-nears-end
