lieu,altitude,periode,de_vers,raison,source,flag
"Semende, Muara Enim",1 200-1 500 m,depuis 2021,Robusta -> arabica,arabica 70-100 k contre Robusta 40 k IDR/kg ; appui de PT Bukit Asam,https://news.detik.com/berita/d-5716796 ; http://disbun.sumselprov.go.id/kopi-arabika-kawasan-semendo/,S
Pagar Alam (Dempo),plus de 1 000 m (selon la source),c.2022,un peu d'arabica nouveau,"altitude, prix « presque 3 fois » le Robusta ; limité par la forêt protégée",https://www.kompas.id/artikel/menjadi-kebun-kopi-robusta-terluas-adakah-arabika-di-sumsel-,S
"Kerinci (Kayu Aro, Renah Pemetik)",plus de 1 200 m,depuis 2011-12,cannelle et maraîchage -> arabica,plus rentable ; plants LTA / TFCA-Sumatra,https://www.mongabay.co.id/2019/02/24/harum-kopi-arabika-di-kaki-gunung-tertinggi-sumatera/,S
Dairi / Sidikalang,Robusta à 1 150-1 250 m,« depuis dix ans »,Robusta -> arabica (variété Sigarar Utang),demande à l'export,https://visit.dairikab.go.id/destination/16-kopi-sidikalang-dari-dairi-primadonanya-kopi-di-sumatera,S
"Sekincau, Lampung Barat",non indiquée,jusqu'en 2024,"Robusta -> arabica, y compris arabica greffé sur porte-greffe Robusta",diversification,https://diskominfotik.lampungprov.go.id/detail-post/panen-kopi-arabika-sekincau-gubernur-lampung-sistem-pagar-dongkrak-produktivitas-dan-kesejahteraan-petani,S
Temanggung (pente du Sindoro),environ 1 200 m,arabica 2000-12 ; bascule signalée en 2017,tabac -> arabica et légumes,prix plus stables ; acheteurs de tabac peu fiables,https://www.mongabay.co.id/2017/07/08/kala-petani-temanggung-beralih-tanam-dari-tembakau-ke-kopi-dan-sayuran-bagian-1/,S
"Kintamani, Bali",1 200-1 900 m (selon la source),depuis 1979,"arabica relancé après éruptions, rouille et passage aux agrumes",programme public de réhabilitation,https://www.aeki-aice.org/kopi-kintamani/,S
Hauteurs de Malang,plus de 1 000 m,avant 2022,arabica planté dans un district à Robusta,non indiquée,https://www.kompas.id/baca/nusantara/2022/09/02/mendulang-nilai-tambah-dari-kopi-yang-bukan-kelas-dua,S
"Kasui, Way Kanan",non indiquée,2018-24,"agroforesterie café (+59 %), puis palmier (+52 %)",non visible dans l'extrait,https://jdmlm.ub.ac.id/index.php/jdmlm/article/view/17426,S
Rejang Lebong,non indiquée,non indiquée,caféiers abattus,prix tombé de 22 000 à 15 000 IDR/kg,https://inakoran.com/kecewa-harga-anjlok-petani-rejang-lebong-tebang-tanaman-kopi/p14043,S
Sumatra du Sud,-,c.2019,terres à café diversifiées vers d'autres cultures,"18 000-19 000 IDR/kg, sans hausse depuis dix ans",https://www.antaranews.com/berita/837744/kedai-kopi-booming-petani-tiarap,S
Gunung Raya / Seminung,parcelles plus hautes,2024-25,avocatiers et forêt -> café,70 000-75 000 IDR/kg,https://www.mongabay.co.id/2025/05/12/kopi-dan-kelestarian-hutan-gunung-raya/,S
"TNBBS, Lampung",-,cumulé fin 2024,forêt -> café (21 000 des 28 000 ha occupés),prix du café ; vente illégale de terres à 3-10 M IDR/ha,https://lampungpro.co/news/tergiur-harga-kopi-jual-beli-lahan-di-kawasan-tnbbs-lampung-barat-terus-terjadi-siapa-dalangnya-,S
"Mukomuko, Bengkulu",-,non indiquée,un peu de palmier -> café,café 30 000 IDR/kg contre régimes de palme 1 700 IDR/kg,https://www.elaeis.co/berita/baca/petani-di-kabupaten-mukomuko-sebut-budidaya-kopi-lebih-untung-dibandingkan-kelapa-sawit,S
